PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
02eiu,r4rk1/3bn1bp/1Bpq2p1/3p4/1P2Pp2/2PB4/4N1PP/2RQ1RK1 w - - 0 20,e2f4 f8f4 b6c5 f4f1,1250,76,86,366,advantage kingsideAttack middlegame short,https://lichess.org/dpXiIJCc#39,
02ger,5rk1/6pp/1p6/p1prPpPP/3P1P1K/1q6/1P3Q2/R2R4 w - - 2 33,d4c5 d5d1 a1d1 b3d1,1221,93,70,39,crushing endgame short,https://lichess.org/Lnz8E10D#65,
02hO3,8/1b6/pk2p3/1p1pb3/1P2P3/P1PBK1P1/3R1Prr/1N1R4 w - - 0 35,f2f4 g2g3,1247,101,100,24,master masterVsMaster mate mateIn1 middlegame oneMove,https://lichess.org/RfNxpqNZ#69,
02iFK,6k1/6p1/5p1p/4q3/8/6QP/P5PK/8 b - - 8 43,e5b2 g3b3 b2b3 a2b3,1275,78,73,91,advantage endgame queenEndgame short,https://lichess.org/DhgPnYCY/black#86,
02iwN,8/7k/6p1/5R2/4KN2/6rp/8/8 w - - 0 50,f5a5 h3h2 a5a1 g3g1,1244,143,78,9,advancedPawn crushing endgame short,https://lichess.org/LPLO2ITD#99,
02jZ5,8/8/1r6/p3p3/2P1N1Pk/1P3R1n/5K2/8 w - - 0 47,f2e3 b6b3 e3d2 b3f3,1260,88,36,101,crushing deflection endgame short skewer,https://lichess.org/qRjHdd0k#93,
02jl4,6rk/3RQ1p1/p6p/8/5PP1/2q4K/P6P/8 w - - 1 36,h3h4 g7g5 f4g5 h6g5,1205,75,93,9580,crushing endgame master short,https://lichess.org/9R5aYJIv#71,
02k9d,5rk1/p2Q4/3p3p/1p1P2p1/3b2P1/6qP/PP1N2N1/5RK1 w - - 1 33,g1h1 g3h3,1201,301,100,21,mate mateIn1 oneMove,https://lichess.org/qB5EQdiI#65,
02lL5,r3r1k1/pp3p2/6R1/3Q4/2pb1PK1/P1P1q1P1/6P1/7R b - - 0 27,d4g7 g6g7 g8g7 d5g5 g7f8 h1h8,1299,76,92,1782,attraction long mate mateIn3 middlegame sacrifice,https://lichess.org/0p9MUYAG/black#54,
02luq,6r1/2pk1p2/p7/1p1PQP2/8/2P4q/P1B1R3/4R2K w - - 0 32,e2h2 h3f3 h2g2 f3g2,1208,75,97,3360,endgame mate mateIn2 short,https://lichess.org/soRP403j#63,
02mvu,r1q2r1k/p1bb1p1n/5P2/1p1P2pp/3P3N/4Q2P/PP4B1/R1B2R1K b - - 0 24,g5h4 e3h6 f8g8 g2e4 g8g6 e4g6,1272,76,91,1173,crushing long master middlegame,https://lichess.org/oYqhEqUT/black#48,
02nF0,5rk1/pR3ppp/5q2/2p1p3/2P5/2QPPBPb/P4P1P/6K1 w - - 1 23,f3g2 h3g2 g1g2 f6c6 e3e4 c6b7,1291,75,62,190,attraction crushing endgame fork long,https://lichess.org/iw8nkh13#45,
02odL,r1bqr1kb/ppp2p1p/6pP/8/8/1P1PR3/1BQ2PP1/5K1R b - - 5 19,f7f6 c2c4 c8e6 e3e6 d8d3 c4d3,1209,229,-100,4,crushing long middlegame,https://lichess.org/3ps53LOG/black#38,Italian_Game Italian_Game_Two_Knights_Defense
02tfs,8/3Q4/6p1/3p1kP1/3qpp1p/1P5P/P4PK1/8 b - - 5 43,f5e5 d7g7 e5f5 g7d4,1265,76,94,1483,crushing deflection endgame master queenEndgame short skewer,https://lichess.org/k5ZDFVOf/black#86,
02tux,r1bq1rk1/1p2bppp/4p3/pB6/P2pnP2/7P/1PP1N1P1/R1BQ1RK1 w - - 0 14,d1d4 e7c5 d4c5 e4c5,1215,76,90,501,crushing middlegame pin short,https://lichess.org/Vw53dm5Z#27,Sicilian_Defense Sicilian_Defense_Bowdler_Attack
02u91,r2qk1nr/ppp2ppp/2np4/8/3PP1b1/5N2/P1P2PPP/R1BQKB1R w KQkq - 1 8,c1g5 g4f3 g5d8 f3d1,1256,266,-100,4,advantage opening short,https://lichess.org/7AX9ZldL#15,Three_Knights_Opening Three_Knights_Opening_Other_variations
02uPB,4r1k1/8/p6p/2p2ppP/4Bb2/1PB2K2/P2p4/3R4 w - - 0 42,e4f5 e8e3 f3f2 e3c3,1265,78,80,97,crushing endgame fork master short,https://lichess.org/f2gHfNiu#83,
02uVT,r1b2rk1/ppq1bpp1/1npp1n1p/8/3PNP2/2PB1Q1N/PP4PP/R1B1R1K1 b - - 5 12,c8g4 e4f6 e7f6 f3g4,1253,90,0,47,crushing kingsideAttack middlegame short,https://lichess.org/SVG1sQQi/black#24,Queens_Pawn_Game Queens_Pawn_Game_Other_variations
02vTI,2k3r1/2p2pq1/p3p3/3p4/1PnP1P2/P1N1P3/4QKP1/R4R2 w - - 7 32,f1g1 g7g3 f2f1 c4e3 e2e3 g3e3,1204,76,100,71,advantage deflection long middlegame,https://lichess.org/lMIfcFKK#63,
02veN,5rk1/6pp/pqP1R3/3Q4/8/8/P4rPP/R5K1 w - - 1 22,e6e8 f2f7 g1h1 f8e8,1266,75,74,139,crushing discoveredAttack endgame short,https://lichess.org/i6Uct88K#43,
02wEG,r1n3rk/6b1/p5Qp/1pq1PpN1/8/6P1/PP3R1P/5RK1 b - - 1 26,h6g5 g6h5 g7h6 h5h6,1209,78,60,212,mate mateIn2 middlegame short,https://lichess.org/7kJpZRIt/black#52,
02ww9,2r4r/kb1q4/pn1Bp2p/3nPp2/3P2p1/5N1P/RP2QPP1/R5K1 b - - 1 31,g4f3 a2a6 b7a6 e2a6,1224,76,86,425,mate mateIn2 middlegame short,https://lichess.org/7gv8ctIX/black#62,
02wxl,8/8/8/p1b3k1/Pp6/1Pr2B1P/6P1/2R4K w - - 3 41,c1c3 b4c3 f3e4 g5f4,1297,76,84,355,crushing endgame short,https://lichess.org/yVBgL2oz#81,
02x0N,8/5b1R/5p2/3p1P2/2p3P1/1pK1P3/rP2Bk2/8 w - - 15 38,h7h2 f2e3 e2c4 d5c4,1248,75,89,1811,crushing endgame short,https://lichess.org/3POUKOwN#75,
02zuS,2r3rk/3R2pp/6b1/4B2P/2q1p1Q1/8/6PK/8 b - - 0 40,g6h5 e5g7 g8g7 g4g7,1215,74,96,15691,mate mateIn2 middlegame short,https://lichess.org/BHY6onWK/black#80,
030s5,5rb1/R7/4r1k1/3pRp1p/5K1P/2PB4/P1P5/8 w - - 1 41,d3f5 f8f5 e5f5 e6e4 f4f3 g6f5,1277,77,84,191,advantage deflection endgame long sacrifice,https://lichess.org/UjBV4gUi#81,
031Yd,5r2/pp6/5p1p/3q3k/8/5R2/P5Q1/7K b - - 2 38,f8g8 f3h3,1274,92,100,80,endgame master mate mateIn1 oneMove,https://lichess.org/646y2C3B/black#76,
031pC,r2qk2r/pppb1ppp/1b3n2/4B3/2Q5/2N5/PPP3PP/2KR1B1R b kq - 0 12,e8g8 e5f6 d8f6 d1d7,1202,78,90,3770,capturingDefender crushing opening short,https://lichess.org/yW0Xt7CQ/black#24,Center_Game Center_Game_Normal_Variation
032cs,r4rk1/p3qppp/6n1/2p1n3/5p2/BP3B1P/P1P3P1/R2Q1RK1 b - - 0 18,g6h4 f3a8 f8a8 f1f4,1222,233,-33,4,advantage discoveredAttack middlegame short,https://lichess.org/xiW0GUEY/black#36,Kings_Gambit_Accepted Kings_Gambit_Accepted_Bonsch-Osmolovsky_Variation
0332A,3q3k/6pp/p7/6N1/4Q3/2N5/Pr5P/7K b - - 1 30,b2f2 e4h7,1270,81,93,74,endgame mate mateIn1 oneMove,https://lichess.org/NJaluusk/black#60,
033Sv,r6r/1p2ppk1/2nq2p1/p2p2Qp/3P4/2P2B2/PP3PPP/R3R1K1 w - - 2 22,f3d5 f7f6 g5e3 d6d5,1231,77,93,1072,advantage middlegame short,https://lichess.org/0BREeL8i#43,
033rG,5r1k/1p3qbp/6p1/2P5/1P1Q4/8/6PP/3R1NK1 w - - 1 29,d4d6 f7f2 g1h1 f2f1 d1f1 f8f1,1239,76,96,6487,backRankMate deflection endgame long mate mateIn3,https://lichess.org/r1mH4PkO#57,
034YX,4r2k/pp3R1p/2np2p1/2n1q3/8/1BP2Q1P/PP4P1/7K b - - 11 34,c5b3 f7f8 h8g7 f3f7 g7h6 f8e8,1200,76,92,3028,advantage endgame fork long,https://lichess.org/IjDSinra/black#68,
035Df,q5k1/5ppp/b2Nrb2/2p5/2PnP3/1P3N2/6PP/3RQRK1 w - - 1 21,e1g3 d4e2 g1h1 e2g3,1267,191,33,11,advantage fork middlegame short,https://lichess.org/AH3o1fs6#41,
037cs,8/5p1p/3p1kp1/3P4/5PP1/8/3K3P/8 w - - 1 44,h2h4 h7h5 g4g5 f6f5,1264,79,93,1971,crushing defensiveMove endgame pawnEndgame short,https://lichess.org/JIkvU0fZ#87,
037l8,3q1r2/5p1k/3pp3/pp1Q1bPB/2r4P/2N5/PKP5/5R1R w - - 0 25,d5b5 c4b4 b5b4 a5b4,1269,80,65,146,crushing fork middlegame short,https://lichess.org/tLx1AD9V#49,
038TX,3r2k1/5ppp/brn1p3/2Q5/8/Rp1q1NB1/3N1PPP/1R4K1 w - - 1 25,c5b6 d3b1 d2b1 d8d1 f3e1 d1e1,1237,77,95,3746,backRankMate clearance fork long mate mateIn3 middlegame sacrifice,https://lichess.org/0P7kSZ1h#49,
038VQ,5rk1/p4ppp/2p5/2Np3n/P2P3q/2P2P2/1PbQ2PP/4R2K w - - 0 26,d2c2 h4e1,1268,77,58,159,backRankMate endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/ESV2Jn6l#51,
039Zj,8/8/8/2pPp1bR/2P1P3/5rkp/4K3/8 b - - 3 62,g3g4 h5g5 g4g5 e2f3 h3h2 f3g2 h2h1r g2h1,1238,75,80,125,crushing deflection endgame veryLong,https://lichess.org/Zw8U7rDf/black#124,
03A3b,3Q4/1R2bk2/4qnp1/pp6/2p2P2/P7/6PP/5RK1 w - - 1 32,d8b6 e6b6 b7b6 e7c5 g1h1 c5b6,1289,75,79,301,attraction crushing endgame fork long,https://lichess.org/OqGYUvQi#63,
03Ac8,1r5r/1P2Q3/p2p2pk/2pPb3/7P/6p1/1P6/2K2R2 b - - 3 35,h8e8 e7g5 h6g7 h4h5,1241,75,91,641,crushing endgame short,https://lichess.org/17kwIXi5/black#70,
03Anu,1r3rk1/pPp2pp1/1b3q2/4p1N1/8/6P1/PP1B1P1P/R2Q1BK1 w - - 1 18,d1c2 f6f2 g1h1 f2g1,1208,75,96,5009,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/CvJIUwYI#35,English_Opening English_Opening_Anglo-Indian_Defense
03BWU,r3r1k1/p4p2/3p2pp/2p5/Pp3qPP/1N1RnP2/1PP1Q3/1K2R3 b - - 5 24,d6d5 d3e3 e8e3 e2e3 f4e3 e1e3,1279,74,96,11378,crushing long middlegame,https://lichess.org/DM4aJ1i4/black#48,
03Bwi,2k4r/p1p3b1/Pp1p4/1P1P1b1p/2B1rBp1/6P1/5P1P/2R2RK1 w - - 1 23,c4d3 e4f4 g3f4 f5d3,1230,75,94,2333,advantage discoveredAttack middlegame short,https://lichess.org/GJkCaccS#45,
03CBj,5rk1/p4ppp/1p6/4p3/3PQP2/2PKP2q/P5r1/2R1R3 b - - 4 32,g2a2 e1h1 a2h2 h1h2 h3h2 c1h1 h2h1 e4h1,1292,77,93,634,clearance crushing endgame veryLong,https://lichess.org/jFEMAwSs/black#64,
03CGT,r5k1/5p2/7p/4Q3/3P1Ppq/4P2P/5RPK/8 w - - 2 43,f2b2 g4g3 h2g1 a8a1 b2b1 a1b1,1278,75,96,756,endgame long mate mateIn3,https://lichess.org/xvAVmY7T#85,
03CLV,5Q2/7k/p1p3pp/B1PpP1p1/P2Pn1P1/4P2P/8/2q3K1 w - - 3 30,f8f1 c1e3 g1h2 e3g3 h2h1 e4f2 f1f2 g3f2,1249,75,89,531,crushing endgame exposedKing veryLong,https://lichess.org/EZiYKQJx#59,
03Cgx,N4k1r/pp2nppp/3p2q1/4n3/4Pb2/2P2B1b/PP3PPP/RN1Q1R1K b - - 4 14,e5f3 d1f3 g6g2 f3g2 h3g2 h1g2,1257,76,93,789,crushing fork long middlegame,https://lichess.org/kQjtZqPb/black#28,Scotch_Game Scotch_Game_Classical_Variation
03ClJ,6k1/R4p2/7p/8/2P5/3P4/prn5/2K2B2 b - - 1 46,a2a1q a7a1 b2b8 c1c2,1291,77,54,92,crushing endgame short,https://lichess.org/OVTJM6gr/black#92,
03DB8,6k1/4R3/2r2K1p/8/5P1N/3p4/P5P1/8 w - - 2 38,e7e6 c6e6 f6e6 d3d2 h4f5 d2d1q,1263,80,94,14835,advancedPawn crushing endgame long promotion,https://lichess.org/R3U5fW7X#75,
03DTp,8/2B2pk1/5q1p/1p1r2p1/pQ6/P6P/5PP1/6K1 b - - 1 39,f6d4 b4d4 d5d4 c7e5 g7g6 e5d4,1261,74,99,849,advantage attraction endgame fork long,https://lichess.org/VNoLoyDr/black#78,
03DnQ,7k/7p/1R1p3P/p1p1p3/4P3/1P1P2P1/b4r2/2K5 b - - 0 33,a5a4 b6b8 f2f8 b8f8,1221,81,62,111,endgame mate mateIn2 short,https://lichess.org/EieodZSt/black#66,
03E3Y,2rr2k1/p6p/1p4p1/5p2/4pP2/PN4P1/1P4NP/1K5R w - - 0 25,g2e3 d8d3 h1e1 d3b3,1217,75,97,3579,crushing endgame fork short,https://lichess.org/1YHHjVUA#49,
03F5s,r3r1k1/ppp1Bpp1/6p1/1P6/3P2n1/1QP5/P2N1PPq/R3RK2 w - - 2 23,d2f3 h2h1 f3g1 g4h2 f1e2 e8e7,1230,76,86,480,advantage interference long middlegame,https://lichess.org/eIe35mlI#45,
03FNc,3r3r/2p1nk1p/1p3p1B/p4P2/3N4/2P5/b1P3PP/3RR1K1 b - - 1 22,h8g8 e1e7 f7e7 d4c6,1267,76,84,282,attraction crushing middlegame sacrifice short,https://lichess.org/3gImg7o7/black#44,
03GKT,r4rk1/pp1b1ppp/1qn5/8/3b1B2/2NB3P/PPQ2PP1/R3R1K1 b - - 5 15,d4f2 c2f2 b6f2 g1f2,1244,116,50,35,advantage middlegame short,https://lichess.org/P44rSmJn/black#30,French_Defense French_Defense_Exchange_Variation
03GkP,r1b2r1k/1p4pp/p1np4/4p1qR/2B1Pp2/2N5/PPP1QPP1/1K1R4 b - - 1 17,g5g2 h5h7 h8h7 e2h5,1251,76,73,102,attraction kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/GBRgHxI3/black#34,Sicilian_Defense Sicilian_Defense_Classical_Variation
03HuZ,r4rk1/4bp2/2pqpnpN/p7/3P4/2N1P3/2Q2PPP/1B3RK1 b - - 0 22,g8h7 h6f7 f8f7 c2g6 h7h8 g6f7,1276,74,92,4236,attraction crushing fork long middlegame,https://lichess.org/4Aye5KRh/black#44,
03KEl,8/B2kbp1b/1Q1p1P2/1p6/1p2p1r1/2r5/P1P5/R4RK1 w - - 0 30,g1h1 c3h3,1286,134,66,54,mate mateIn1 middlegame oneMove,https://lichess.org/cDwJbKab#59,
03LVu,r2qkb1r/ppp2ppp/4b3/8/Q1n5/4PN2/PP2B1PP/R1B2RK1 b kq - 1 12,d8d7 a4d7 e6d7 e2c4,1293,78,87,937,advantage opening short,https://lichess.org/JAHAT8fn/black#24,Queens_Gambit_Declined Queens_Gambit_Declined_Albin_Countergambit
03Lh3,8/6pp/6k1/3p4/3Q4/1qn4P/5PP1/3R2K1 w - - 5 32,d1d3 c3e2 g1f1 e2d4 d3b3 d4b3,1246,76,80,221,crushing endgame fork long,https://lichess.org/ejW6wHZh#63,
03N75,r5k1/P4ppp/3Qp3/r2pn3/8/7P/5PP1/6K1 b - - 2 31,e5c4 d6b8 a8b8 a7b8q,1256,91,87,58,advancedPawn backRankMate endgame mate mateIn2 promotion short,https://lichess.org/aM58pb9L/black#62,
